canonical_cited_author,raw_author_variants,n_raw_variants,n_articles_citing_author,n_reference_mentions,author_lineage_code,gilly_alignment,lineage_confidence,lineage_source,lineage_rationale,top_citing_article_gilly_category
S. G. West,S. G. West,1,52,53,developmental_family_peer_ecological,bridge_contextual,0.7,openai,"West's cited work on family and school environments, attachment timing and parenting self-efficacy positions him within developmental and ecological studies of how family/school contexts shape child outcomes.",context_sensitive_educational_psychology
N. Mercer,N. Mercer,1,51,110,sociocultural_dialogic_activity,fundamental,0.95,openai,"Mercer's heavy emphasis in the citations on dialogic interaction, classroom talk, intersubjectivity and negotiating meaning situates him squarely in the Vygotskian/dialogic activity tradition that matches Gilly's core emphasis on interactional, contextualized educational processes.",fundamental_contextualized_educational_interaction
M. Niemivirta,M. Niemivirta,1,51,107,motivation_self_regulation_identity,bridge_contextual,0.8,openai,"Niemivirta's cited contributions on metacognitive experiences, goal orientations, self-regulated learning and interventions reflect the motivation and self-regulation lineage as applied to classroom achievement and coping.",context_sensitive_educational_psychology
N. Kiuru,N. Kiuru,1,51,98,developmental_family_peer_ecological,bridge_contextual,0.7,openai,"Kiuru's citations about school burnout, transition to university, teacher factors and adjustment point to developmental and peer/family ecological concerns in adolescent educational trajectories.",context_sensitive_educational_psychology
J. G. Nicholls,J. G. Nicholls,1,51,81,motivation_self_regulation_identity,bridge_contextual,0.85,openai,"Nicholls' cited classic work on achievement motivation, perceived motivational climate and students' interests aligns with motivational and self-regulatory frameworks in education rather than interactional institutional traditions.",context_sensitive_educational_psychology
A. M. Ryan,A. M. Ryan,1,51,67,motivation_self_regulation_identity,bridge_contextual,0.8,openai,"Ryan's cited studies on perceived task demands, goal orientations, cross-contextual motivation and help seeking place her within motivation and self-regulation research applied to classroom situations.",context_sensitive_educational_psychology
T. Garcia,T. Garcia,1,51,62,motivation_self_regulation_identity,bridge_contextual,0.6,openai,"Garcia's cited items on academic motivation, beliefs about motivation, metacognitive experiences and student emotion suggest affiliation with motivation and self-regulation perspectives in educational research.",context_sensitive_educational_psychology
W. Lens,W. Lens,1,50,98,motivation_self_regulation_identity,bridge_contextual,0.85,openai,"Lens' work on time perspective, societal values, goals and their impact on learning and achievement clearly places him in the motivation and identity-related tradition within education.",context_sensitive_educational_psychology
J. C. Turner,J. C. Turner,1,50,75,social_representations_institutional_context,bridge_contextual,0.75,openai,"Turner's citations on intergroup perceptions, membership effects, and educational prestige implicate social identity and institutional/representational analyses of schooling rather than micro-interactional or purely cognitive traditions.",context_sensitive_educational_psychology
L. B. Resnick,L. B. Resnick,1,50,55,didactics_classroom_knowledge_practices,fundamental,0.8,openai,"Resnick's cited contributions to realistic mathematics education, classroom-based curriculum design and collaborative learning link curriculum/didactics with situated learning traditions that align with Gilly's concern for contextualized educational interactions.",fundamental_contextualized_educational_interaction
C. Artelt,C. Artelt,1,49,131,didactics_classroom_knowledge_practices,bridge_contextual,0.8,openai,"Artelt’s work centers on reading, metacognitive knowledge and how individual and classroom/contextual variables shape learning, situating her in didactics and classroom practices rather than foundational sociocultural theory.",context_sensitive_educational_psychology
J. Moller,J. Moller,1,49,114,motivation_self_regulation_identity,bridge_contextual,0.8,openai,"Moller’s research on self-concept, dimensional comparison and home/school influences aligns with motivation and identity traditions addressing context-sensitive self-processes in education.",context_sensitive_educational_psychology
T. D. Little,T. D. Little,1,49,74,motivation_self_regulation_identity,bridge_contextual,0.75,openai,"Little’s output on self-systems, attributions, and socio-emotional adjustment maps onto motivation and self-related constructs applied to educational settings rather than interactionist foundations.",context_sensitive_educational_psychology
E. M. Anderman,E. M. Anderman,1,49,72,motivation_self_regulation_identity,bridge_contextual,0.9,openai,"Anderman’s body of work on self-efficacy, goal orientations and motivation in school contexts clearly places her in the motivation/self-regulation and identity tradition.",context_sensitive_educational_psychology
L. Steinberg,L. Steinberg,1,49,72,developmental_family_peer_ecological,bridge_contextual,0.85,openai,"Steinberg’s emphasis on adolescent development, family relationships and social adjustment positions him in developmental and ecological approaches to education and adolescence.",context_sensitive_educational_psychology
T. Asparouhov,T. Asparouhov,1,49,67,psychometrics_measurement_statistics,methodological,0.95,openai,"Asparouhov is primarily cited for multilevel/SEM and Mplus-related methodological contributions, placing him in measurement and statistical methodology.",context_sensitive_educational_psychology
C. Ames,C. Ames,1,49,63,motivation_self_regulation_identity,bridge_contextual,0.8,openai,"Ames’ research on classroom motivational climates, interest and teacher-student interactions is squarely in achievement motivation and classroom motivational processes.",context_sensitive_educational_psychology
K. Verschueren,K. Verschueren,1,48,100,developmental_family_peer_ecological,bridge_contextual,0.75,openai,"Verschueren’s focus on observed classroom quality, teacher–child relations and early childhood interventions aligns with developmental and ecological perspectives on classroom contexts.",context_sensitive_educational_psychology
S. Graham,S. Graham,1,48,89,didactics_classroom_knowledge_practices,bridge_contextual,0.8,openai,"Graham’s influential work on writing instruction, strategy interventions and classroom tasks identifies him with didactics and instructional practice research.",context_sensitive_educational_psychology
P. H. Winne,P. H. Winne,1,48,77,motivation_self_regulation_identity,bridge_contextual,0.85,openai,Winne’s theoretical and empirical contributions to self-regulated learning and how task demands in classrooms shape cognitive regulation place him in the SRL/motivation tradition.,context_sensitive_educational_psychology
A. Minnaert,A. Minnaert,1,48,68,motivation_self_regulation_identity,bridge_contextual,0.7,openai,Minnaert’s mix of psychometric work and studies of self-regulated learning and motivation suggests placement within motivation and self-regulation applied to educational contexts.,context_sensitive_educational_psychology
R. J. Shavelson,R. J. Shavelson,1,48,60,didactics_classroom_knowledge_practices,bridge_contextual,0.8,openai,"Shavelson’s scholarship on assessment, learning environments and designing powerful instructional tasks ties him to didactics and classroom-level design and evaluation.",context_sensitive_educational_psychology
C. Wang,C. Wang,1,48,57,motivation_self_regulation_identity,applied_mainstream,0.75,openai,"Wang’s work on academic self-efficacy, parenting styles and self-regulated learning is applied research importing motivation and regulation constructs into educational contexts.",context_sensitive_educational_psychology
M. Schneider,M. Schneider,1,48,50,individual_differences_cognitive_achievement,applied_mainstream,0.8,openai,"Schneider’s studies of children’s strategy choices, number-line estimation and computational methods align with cognitive-developmental and individual differences research in achievement.",context_sensitive_educational_psychology
S. Jarvela,S. Jarvela,1,47,190,sociocultural_dialogic_activity,fundamental,0.9,openai,"Jarvela’s extensive CSCL, collaborative regulation and emotion-in-learning work draws on sociocultural and dialogic activity traditions that resonate with Gilly’s contextualized interactional project.",context_sensitive_educational_psychology
E. Panadero,E. Panadero,1,47,186,didactics_classroom_knowledge_practices,bridge_contextual,0.85,openai,"Panadero’s focused research on formative and peer assessment, scripts and regulation aligns closely with classroom assessment and instructional practices in didactics.",context_sensitive_educational_psychology
J. D. Vermunt,J. D. Vermunt,1,47,108,motivation_self_regulation_identity,bridge_contextual,0.85,openai,"Vermunt’s work on learning strategies, regulation and students’ approaches to studying places him in the self-regulation and motivation tradition applied to higher education.",context_sensitive_educational_psychology
E. Klieme,E. Klieme,1,47,104,didactics_classroom_knowledge_practices,bridge_contextual,0.8,openai,"Klieme’s research on instructional quality, classroom discourse and teacher professional development situates him in didactics and classroom practice research.",context_sensitive_educational_psychology
M. Gilly,M. Gilly,1,47,104,didactics_classroom_knowledge_practices,fundamental,0.95,seed,Foundational EJPE figure linking psychology of education to contextualized educational situations.,context_sensitive_educational_psychology
N. C. Hall,N. C. Hall,1,47,84,motivation_self_regulation_identity,applied_mainstream,0.85,openai,"Hall’s scholarship on achievement emotions, control-value appraisals and goal-related emotions places her within the motivation/emotion and self-regulation tradition with applied educational focus.",context_sensitive_educational_psychology
P. A. Kirschner,P. A. Kirschner,1,47,80,intervention_instructional_design,applied_mainstream,0.9,openai,"Kirschner is best known for work on instructional design and evidence-based teaching (e.g., guidance vs minimal guidance), aligning with intervention and instructional-design traditions rather than interactional sociocultural theory.",context_sensitive_educational_psychology
C. S. Hulleman,C. S. Hulleman,1,47,70,motivation_self_regulation_identity,applied_mainstream,0.8,openai,"Work cited concerns achievement goals, performance-approach/avoidance and exam performance across contexts, indicating a mainstream motivational/self-regulation lineage rather than a primary focus on interactional, institutional or socio-cultural processes.",context_sensitive_educational_psychology
X. Zhang,X. Zhang,1,47,65,developmental_family_peer_ecological,bridge_contextual,0.7,openai,"Cited studies focus on parents' home reading activities, teacher emotional support and child persistence, pointing to family- and classroom-context influences on early learning rather than purely cognitive or measurement traditions.",context_sensitive_educational_psychology
F. Preckel,F. Preckel,1,47,54,motivation_self_regulation_identity,applied_mainstream,0.8,openai,"Research on gender differences in emotions towards mathematics, test anxiety and tracking decisions situates Preckel in achievement-emotion and motivation traditions applied to schooling.",context_sensitive_educational_psychology
S. Hidi,S. Hidi,1,46,100,motivation_self_regulation_identity,bridge_contextual,0.85,openai,"Hidi's extensive work on interest, its classroom antecedents and consequences anchors her in the motivation/engagement tradition with clear attention to contextual classroom processes, but not primarily in interactionist institutional theory.",context_sensitive_educational_psychology
W. B. Schaufeli,W. B. Schaufeli,1,46,99,motivation_self_regulation_identity,applied_mainstream,0.7,openai,"Schaufeli's burnout and engagement constructs originate in occupational health and are applied to teacher and pupil well-being in educational settings, reflecting motivational/affective traditions imported into education.",context_sensitive_educational_psychology
X. Chen,X. Chen,1,46,61,developmental_family_peer_ecological,fundamental,0.6,openai,"Cited work emphasizes depressive mood, loneliness, scaffolding in parent–child dyads and school climate, indicating an interest in mediated, contextualized interactions that align with Gilly’s focus on socio-institutional and interactional situations.",context_sensitive_educational_psychology
M. Lerkkanen,M. Lerkkanen,1,45,141,developmental_family_peer_ecological,bridge_contextual,0.75,openai,"Lerkkanen's studies link home literacy, classroom organization and family structure to early reading and motivation, placing her in developmental and ecological work on child learning contexts rather than pure cognitive-measurement traditions.",context_sensitive_educational_psychology
A. Renkl,A. Renkl,1,45,113,didactics_classroom_knowledge_practices,bridge_contextual,0.8,openai,"Renkl's extensive research on worked examples, self-explanations and instructional design situates him in classroom didactics and knowledge-practice traditions focused on how instruction shapes learning processes.",context_sensitive_educational_psychology
E. M. Pomerantz,E. M. Pomerantz,1,45,86,developmental_family_peer_ecological,fundamental,0.75,openai,"Pomerantz is cited for parental scaffolding, family influences on motivation and multimodal analyses of parent–child interaction, aligning her with research that treats mediated, contextual interactions as primary units of educational development.",context_sensitive_educational_psychology
R. J. Sternberg,R. J. Sternberg,1,45,83,individual_differences_cognitive_achievement,bridge_contextual,0.7,openai,"Sternberg’s contributions on thinking strategies, cognitive competence and mediated learning bridge individual differences and instructional strategy research rather than a core socio-institutional interactional lineage.",context_sensitive_educational_psychology
A. B. Bakker,A. B. Bakker,1,45,78,motivation_self_regulation_identity,applied_mainstream,0.7,openai,Bakker’s work on engagement and burnout (often paired with Schaufeli) represents motivational and well-being constructs adapted from organizational psychology to educational contexts.,context_sensitive_educational_psychology
S. C. Levine,S. C. Levine,1,45,78,individual_differences_cognitive_achievement,applied_mainstream,0.75,openai,"Levine is cited for research on numeric cognition, strategy development and cross-age differences in mathematics, placing her in cognitive-developmental and individual-differences approaches to learning.",context_sensitive_educational_psychology
K. E. Stanovich,K. E. Stanovich,1,45,76,individual_differences_cognitive_achievement,applied_mainstream,0.85,openai,"Stanovich’s foundational work on phonemic awareness, reading acquisition and cognitive predictors of literacy clearly situates him in cognitive/individual-differences traditions relevant to educational achievement.",context_sensitive_educational_psychology
K. Lonka,K. Lonka,1,45,76,didactics_classroom_knowledge_practices,bridge_contextual,0.7,openai,"Lonka’s research on activating instruction, study skills and regulation in higher education aligns with didactic and classroom-practice traditions focused on learners’ approaches and regulation in instructional contexts.",context_sensitive_educational_psychology
W. S. Grolnick,W. S. Grolnick,1,45,69,motivation_self_regulation_identity,bridge_contextual,0.75,openai,"Grolnick’s prominent work on parenting, autonomy support and students' intrinsic motivation places him at the intersection of parenting research and motivation theory with contextual sensitivity to interactional processes.",context_sensitive_educational_psychology
M. T. Wang,M. T. Wang,1,45,64,developmental_family_peer_ecological,bridge_contextual,0.7,openai,"Wang’s studies on temperament, school self-concepts, parenting styles and engagement emphasize developmental and ecological determinants of adolescent school adjustment and identity.",context_sensitive_educational_psychology
S. L. Christenson,S. L. Christenson,1,45,63,motivation_self_regulation_identity,bridge_contextual,0.75,openai,"Christenson’s focus on school identification, engagement and personal strengths inventories places her within engagement/motivation traditions that explicitly incorporate contextualized, systemic influences on student behavior.",context_sensitive_educational_psychology
J. Bruner,J. Bruner,1,45,57,sociocultural_dialogic_activity,fundamental,0.9,seed,"Major source for cultural psychology, scaffolding, meaning-making, and educational interaction.",fundamental_contextualized_educational_interaction
J. Biggs,J. Biggs,1,44,81,didactics_classroom_knowledge_practices,bridge_contextual,0.85,openai,"Biggs’ influential work on approaches to learning, constructive alignment and assessment links curricular/didactic design to student learning practices and thus fits classroom didactics and pedagogical practice traditions.",context_sensitive_educational_psychology
R. M. Klassen,R. M. Klassen,1,44,71,motivation_self_regulation_identity,applied_mainstream,0.7,openai,"Klassen is cited for work on procrastination, self-efficacy and teachers’ occupational beliefs, locating him in applied motivation and self-regulation research within educational settings.",applied_psychology_in_education
C. Bereiter,C. Bereiter,1,44,69,didactics_classroom_knowledge_practices,bridge_contextual,0.7,openai,"Bereiter’s contributions on knowledge representation, writing and knowledge-building in classrooms align with didactic and classroom-practice traditions that focus on situated knowledge construction.",context_sensitive_educational_psychology
J. V. Wertsch,J. V. Wertsch,1,44,65,sociocultural_dialogic_activity,fundamental,0.92,openai,"Wertsch’s Vygotskian, mediated-action and sociocultural work on discourse, mediation and cultural tools aligns closely with Gilly’s focus on contextualized educational interactions and institutionalized learning situations.",fundamental_contextualized_educational_interaction
L. Zhang,L. Zhang,1,44,55,motivation_self_regulation_identity,bridge_contextual,0.78,openai,"Zhang’s EJPE citations cluster around student goals, engagement, and self-regulated learning—motivation-oriented, context-sensitive work that connects to but does not fully enact Gilly’s interactional/institutional priorities.",context_sensitive_educational_psychology
L. Mason,L. Mason,1,43,102,interactionist_constructivist_social_cognitive,bridge_contextual,0.8,openai,"Mason’s research on conceptual change, collaborative discourse and analogical reasoning stems from constructivist/social-interaction traditions that are educationally contextual but more cognitive-constructivist than strictly socio-institutional.",context_sensitive_educational_psychology
T. Urdan,T. Urdan,1,43,72,motivation_self_regulation_identity,bridge_contextual,0.88,openai,"Urdan’s work on values, goal orientations and motivation in school settings places him in motivational and identity traditions that are context-aware but not primarily interactional-institutional in Gilly’s sense.",context_sensitive_educational_psychology
J. Zhang,J. Zhang,1,43,64,individual_differences_cognitive_achievement,applied_mainstream,0.72,openai,"J. Zhang’s cited outputs emphasize domain-specific achievement, self-efficacy, anxiety and technology interventions (e.g., GraphoGame), fitting an individual-differences and applied cognitive achievement lineage.",context_sensitive_educational_psychology
L. Linnenbrink-Garcia,L. Linnenbrink-Garcia,1,43,52,motivation_self_regulation_identity,bridge_contextual,0.86,openai,"Her work on motivation, group work, emotions and transfer reflects motivation and self-regulation traditions that address contextual classroom dynamics without primarily theorizing socio-institutional mediation.",context_sensitive_educational_psychology
J. Lave,J. Lave,1,43,48,sociocultural_dialogic_activity,fundamental,0.95,openai,Lave’s situated learning and community-of-practice scholarship is a core sociocultural/activity-theoretical influence that directly supports Gilly’s interest in contextually embedded educational interactions.,fundamental_contextualized_educational_interaction
J. Liu,J. Liu,1,43,47,intervention_instructional_design,applied_mainstream,0.66,openai,"Liu’s contributions, as reflected in EJPE citations, center on strategy development, tutoring, logfile analyses and instructional supports—applied work oriented to designing and evaluating learning interventions.",context_sensitive_educational_psychology
J. Xu,J. Xu,1,42,135,social_representations_institutional_context,bridge_contextual,0.64,openai,"Xu’s studies of stereotype threat, evaluative contexts and teachers’ responsiveness point to social-psychological and institutional-evaluative traditions that bridge individual effects and contextual/institutional influences.",context_sensitive_educational_psychology
M. Dresel,M. Dresel,1,42,122,social_representations_institutional_context,bridge_contextual,0.67,openai,"Dresel’s research on teacher judgments, detection of deception and teacher emotions emphasizes social perceptions, norms and institutional roles in schooling rather than purely cognitive or measurement traditions.",context_sensitive_educational_psychology
T. Seidel,T. Seidel,1,42,119,didactics_classroom_knowledge_practices,bridge_contextual,0.71,openai,"Seidel’s focus on instructional quality, classroom discourse and observation instruments places him in didactic/classroom-practices traditions connected to contextualized instructional analyses rather than abstract theorizing.",context_sensitive_educational_psychology
M. Grossen,M. Grossen,1,42,109,didactics_classroom_knowledge_practices,fundamental,0.84,openai,"Grossen’s work (e.g., didactic contract, intersubjectivity) is squarely in didactics and classroom-knowledge traditions that resonate with Gilly’s emphasis on institutionalized, interactional educational situations.",fundamental_contextualized_educational_interaction
K. A. Renninger,K. A. Renninger,1,42,71,motivation_self_regulation_identity,bridge_contextual,0.85,openai,Renninger’s scholarship on interest and the quality of classroom experience situates her in motivation and engagement traditions that are clearly context-sensitive but not central to Gilly’s socio-institutional framing.,context_sensitive_educational_psychology
R. Koestner,R. Koestner,1,42,63,motivation_self_regulation_identity,applied_mainstream,0.82,openai,Koestner’s work on autonomy support and self-determination in educational settings aligns with applied motivational interventions and classroom practice research rather than fundamental institutional theory.,context_sensitive_educational_psychology
M. Cole,M. Cole,1,42,59,sociocultural_dialogic_activity,fundamental,0.9,seed,Major source for cultural-historical psychology and mediated activity.,fundamental_contextualized_educational_interaction
J. Guo,J. Guo,1,42,54,sociocultural_dialogic_activity,fundamental,0.7,openai,"Guo’s studies of parent–child conversational practices, communicative guidance and cultural conversational patterns reflect sociocultural, dialogic approaches to development and early learning consistent with Gilly’s priorities.",context_sensitive_educational_psychology
C. K. Enders,C. K. Enders,1,42,46,psychometrics_measurement_statistics,methodological,0.92,openai,"Enders is primarily a methodological source on missing data and statistical techniques, and EJPE citations reflect use of his measurement/statistical expertise rather than substantive theory about contextual interactions.",context_sensitive_educational_psychology
A. Efklides,A. Efklides,1,41,90,motivation_self_regulation_identity,bridge_contextual,0.76,openai,"Efklides’ metacognition and monitoring work (feelings of difficulty, control processes) links cognitive monitoring with motivational regulation in educational contexts, making it context-sensitive but not primarily institutional.",context_sensitive_educational_psychology
X. Li,X. Li,1,41,79,developmental_family_peer_ecological,bridge_contextual,0.69,openai,"X. Li’s EJPE-cited research on parenting styles, home learning environments and cross-national development situates her in developmental and family/ ecological traditions that foreground contextual influences on learning.",context_sensitive_educational_psychology
F. Paas,F. Paas,1,41,74,intervention_instructional_design,applied_mainstream,0.87,openai,Paas’ cognitive-load and instructional-design research is strongly intervention- and materials-focused in ways that inform applied instructional practice more than Gilly’s socio-institutional theorizing.,applied_psychology_in_education
B. K. Hamre,B. K. Hamre,1,41,72,developmental_family_peer_ecological,fundamental,0.72,openai,"Hamre’s work on classroom quality, teacher–student relationships and early classroom ecology addresses relational and contextual processes in schooling that align with Gilly’s emphasis on situated, interactional educational phenomena.",context_sensitive_educational_psychology
B. Inhelder,B. Inhelder,1,41,57,interactionist_constructivist_social_cognitive,fundamental,0.9,openai,"Inhelder is a central Piagetian collaborator whose work on developmental stages, peer interaction and conceptual change aligns with interactionist/constructivist traditions and maps closely onto Gilly’s emphasis on contextualized educational interactions.",applied_psychology_in_education
R. Gelman,R. Gelman,1,41,57,interactionist_constructivist_social_cognitive,bridge_contextual,0.8,openai,Gelman’s research on children’s conceptual development and domain-specific reasoning stems from developmental/cognitive traditions (post‑Piagetian) that are educationally context-sensitive but not identical to Gilly’s institutionally anchored interactional project.,applied_psychology_in_education
J. E. Nurmi,J. E. Nurmi,1,41,53,developmental_family_peer_ecological,bridge_contextual,0.8,openai,Nurmi’s longitudinal and parenting/family work places him in developmental and ecological traditions focused on family and peer contexts that inform education without being core to Gilly’s interactional-institutional stance.,context_sensitive_educational_psychology
H. Patrick,H. Patrick,1,41,48,motivation_self_regulation_identity,bridge_contextual,0.8,openai,"Patrick’s program on autonomy support, goal orientations and classroom climates situates her in motivation/self-regulation and identity research that is strongly context-sensitive but oriented more to motivational processes than to Gilly’s core institutional/interactional theorizing.",context_sensitive_educational_psychology
X. Fan,X. Fan,1,41,48,developmental_family_peer_ecological,bridge_contextual,0.7,openai,"Fan’s work on family influences, assessment conceptions and social ecology of students points to developmental and family/peer ecological traditions that are contextually relevant to education but not centrally aligned with Gilly’s fundamental project.",context_sensitive_educational_psychology
D. C. Geary,D. C. Geary,1,40,90,individual_differences_cognitive_achievement,applied_mainstream,0.85,openai,Geary’s cognitive and individual-differences research on numerical cognition and working memory aligns with cognitive/ability traditions that are frequently applied to educational problems rather than focused on socio-institutional interaction.,applied_psychology_in_education
J. G. Borkowski,J. G. Borkowski,1,40,85,motivation_self_regulation_identity,bridge_contextual,0.8,openai,"Borkowski’s emphasis on metacognition, learning strategies and self-regulation places him in motivational/self-regulatory lines of research that address contextual learning processes but are not primarily institutional-interactional theorizing.",context_sensitive_educational_psychology
G. Vergnaud,G. Vergnaud,1,40,69,didactics_classroom_knowledge_practices,fundamental,0.9,openai,"Vergnaud’s work on conceptual fields, the didactic contract and classroom situations locates him firmly in didactics and classroom knowledge traditions that resonate strongly with Gilly’s focus on socio‑institutional educational interactions.",fundamental_contextualized_educational_interaction
C. A. Perfetti,C. A. Perfetti,1,40,67,individual_differences_cognitive_achievement,applied_mainstream,0.85,openai,Perfetti’s psycholinguistic and reading research emphasizes cognitive processes and individual differences in literacy that are widely applied in educational settings rather than centered on institutional interactional analysis.,applied_psychology_in_education
H. Cooper,H. Cooper,1,40,65,educational_policy_sociology_comparative,policy_context,0.75,openai,"Cooper’s meta-analytic and policy-relevant work on tutoring, homework and large-scale educational practices aligns with sociology/policy traditions concerned with institutional and systemic educational questions.",context_sensitive_educational_psychology
K. Lee,K. Lee,1,40,60,developmental_family_peer_ecological,bridge_contextual,0.7,openai,"Lee’s research spans social cognition, parent perceptions and teacher professional identity, locating her in developmental and social-ecological traditions that inform educational contexts without being primarily interactionist didactics.",context_sensitive_educational_psychology
L. G. Pelletier,L. G. Pelletier,1,40,60,motivation_self_regulation_identity,bridge_contextual,0.9,openai,Pelletier’s extensive self-determination and motivation research in school settings places her squarely in motivational/self-regulation traditions that are highly context-sensitive but not identical to Gilly’s institutional-interactional orientation.,context_sensitive_educational_psychology
H. Li,H. Li,1,40,58,intervention_instructional_design,bridge_contextual,0.65,openai,"Li’s empirical work on linguistic simplification, feedback, peer assessment and instructional scaffolds aligns with intervention and instructional-design traditions concerned with practical classroom treatments and scaffolding.",context_sensitive_educational_psychology
H. A. Simon,H. A. Simon,1,40,55,individual_differences_cognitive_achievement,applied_mainstream,0.75,openai,"Herbert A. Simon’s foundational cognitive science and problem-solving theories underpin individual differences and strategy-focused educational work, used in applied educational research rather than as an institutional interactional frame.",context_sensitive_educational_psychology
L. Corno,L. Corno,1,40,51,motivation_self_regulation_identity,bridge_contextual,0.85,openai,"Corno’s contributions on classroom engagement, learning strategies and self-regulation situate him in motivational/self-regulatory traditions closely tied to classroom context but not primarily institutional theory.",context_sensitive_educational_psychology
S. W. Raudenbush,S. W. Raudenbush,1,40,47,psychometrics_measurement_statistics,methodological,0.95,openai,"Raudenbush is best known for hierarchical/multilevel modeling and methodological advances for analysing nested educational data, clearly placing him in the measurement/statistics lineage used across context-sensitive studies.",context_sensitive_educational_psychology
A. S. Bryk,A. S. Bryk,1,40,44,educational_policy_sociology_comparative,policy_context,0.95,openai,"Bryk’s school-improvement, organizational and sociological analyses of schooling place him in comparative and policy-oriented traditions focused on institutional contexts central to educational systems.",context_sensitive_educational_psychology
D. B. Rubin,D. B. Rubin,1,40,42,psychometrics_measurement_statistics,methodological,0.85,openai,D. B. Rubin’s foundational work on missing data and causal inference is primarily methodological and widely used in educational research for rigorous quantitative inference.,context_sensitive_educational_psychology
Y. Rosseel,Y. Rosseel,1,40,41,psychometrics_measurement_statistics,methodological,0.95,openai,"Rosseel is known for SEM software and methods (e.g., lavaan), situating his contribution in measurement and statistical modelling applied across educational psychology studies.",context_sensitive_educational_psychology
S. Vosniadou,S. Vosniadou,1,39,93,interactionist_constructivist_social_cognitive,fundamental,0.9,openai,"Vosniadou’s conceptual-change and naïve-theories research draws on constructivist interactionist traditions about how learners’ conceptions evolve in educational situations, aligning with Gilly’s emphasis on contextually situated knowledge construction.",context_sensitive_educational_psychology
H. Jang,H. Jang,1,39,76,motivation_self_regulation_identity,bridge_contextual,0.8,openai,"Jang's extensive work on self-determination, autonomy support and motivation in classroom contexts positions her in the motivation/self-regulation tradition that is context-sensitive but not centrally focused on Gilly-style interactional/institutional analyses.",context_sensitive_educational_psychology
D. Leutner,D. Leutner,1,39,67,didactics_classroom_knowledge_practices,bridge_contextual,0.75,openai,"Leutner's research on metacognitive strategies, instructional materials and teacher diagnostic skills situates him in didactics and classroom practice research that addresses contextual learning without primarily framing education as socio-institutional interaction.",context_sensitive_educational_psychology
R. F. Baumeister,R. F. Baumeister,1,39,55,motivation_self_regulation_identity,applied_mainstream,0.8,openai,"Baumeister's work on self, self-control and social-psychological processes is widely used to explain educational outcomes (self-esteem, choking under pressure), reflecting an applied mainstream social-psychology orientation rather than a Gilly-style institutional/interactional focus.",context_sensitive_educational_psychology
P. Bryant,P. Bryant,1,39,54,interactionist_constructivist_social_cognitive,fundamental,0.8,openai,"Bryant's studies of interaction and instruction in conservation tasks and dialogic practices align with post-Piagetian/social-constructivist traditions that treat social interaction and contextualized tasks as central, matching Gilly's fundamental concerns.",context_sensitive_educational_psychology
C. F. Ratelle,C. F. Ratelle,1,39,49,motivation_self_regulation_identity,bridge_contextual,0.8,openai,"Ratelle's SDT-based work on persistence, parental involvement and test anxiety places him in motivation and self-regulation traditions that are highly context-sensitive but not primarily institutional/interactional in Gilly's sense.",context_sensitive_educational_psychology
J. F. Hair,J. F. Hair,1,39,48,psychometrics_measurement_statistics,methodological,0.95,openai,"Hair is well-known for methodological and multivariate/statistical texts (SEM, scale validation), so his influence in EJPE is primarily methodological.",context_sensitive_educational_psychology
M. M. Chiu,M. M. Chiu,1,39,47,motivation_self_regulation_identity,bridge_contextual,0.75,openai,"Chiu's research on teacher/principal self-efficacy, job autonomy and teaching practices centers on motivational and self-regulatory constructs applied to educational contexts, making her a context-sensitive but not primarily interactional/institutional lineage for Gilly.",context_sensitive_educational_psychology
I. Archambault,I. Archambault,1,39,45,developmental_family_peer_ecological,fundamental,0.6,openai,"Archambault's longitudinal work on dropout, child self-concepts and adjustment intersects developmental and ecological perspectives and includes studies of how child adjustment shapes teacher interactions, linking to Gilly's interest in contextualized educational situations.",context_sensitive_educational_psychology
C. Furrer,C. Furrer,1,39,44,motivation_self_regulation_identity,bridge_contextual,0.75,openai,"Furrer's focus on belonging, engagement and persistence in school identifies her with motivation and self-regulation traditions applied to educational contexts rather than with core interactional/institutional theorizing.",context_sensitive_educational_psychology
C. Abraham,C. Abraham,1,39,39,motivation_self_regulation_identity,bridge_contextual,0.7,openai,"Abraham's work on academic self-concept, learning strategies and transitions situates him in motivation and self-belief research that is context-aware but not central to Gilly-style fundamental interactional accounts.",context_sensitive_educational_psychology
R. Bond,R. Bond,1,39,39,motivation_self_regulation_identity,bridge_contextual,0.7,openai,"Bond (cited together with Abraham on self-concept and study strategies) appears to contribute to research on self-concept and learning approaches, aligning with motivation/self-regulation traditions applied to educational settings.",context_sensitive_educational_psychology
P. Bressoux,P. Bressoux,1,38,126,psychometrics_measurement_statistics,methodological,0.8,openai,"Bressoux's outputs include methodological notes on measurement and multilevel/classroom effects alongside teacher recognition research, indicating a strong measurement/methodological lineage relevant to EJPE studies.",context_sensitive_educational_psychology
C. Darnon,C. Darnon,1,38,118,social_representations_institutional_context,fundamental,0.8,openai,"Darnon's research on epistemic dependence, social transmission of knowledge and teaching style treats authority, institutional influence and knowledge as social constructs and foregrounds interactional/situational processes central to Gilly's project.",context_sensitive_educational_psychology
